,id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
485962,485963,CO,410,IAH,EWR,2,1250,194,1
304169,304170,B6,248,LGB,OAK,6,837,76,1
479207,479208,WN,310,MDW,JAN,2,880,120,1
226593,226594,AA,1303,TPA,DFW,2,500,170,0
210554,210555,EV,5214,ATL,CLE,1,590,112,0
306334,306335,WN,594,DAL,HOU,6,960,65,1
471295,471296,DL,2813,GRR,MSP,2,470,100,0
411304,411305,OH,6567,CLE,DTW,5,808,67,1
435906,435907,WN,105,FLL,ISP,7,545,165,0
63690,63691,OO,6661,SFO,MOD,6,929,36,0
286999,287000,XE,2414,SAV,IAH,5,860,159,1
380233,380234,WN,1684,BWI,HOU,3,1090,220,1
526042,526043,DL,371,ATL,IAH,5,450,140,1
508950,508951,MQ,4213,ORD,BUF,4,505,95,0
532818,532819,DL,1424,ATL,BWI,5,815,107,0
519534,519535,WN,512,SNA,LAS,4,1050,65,1
442698,442699,OH,6425,MSP,CVG,7,910,114,0
178303,178304,YV,2934,PHX,MEM,6,585,184,0
518100,518101,US,940,SAN,PHX,4,980,75,0
193542,193543,AA,395,MIA,DFW,7,645,200,0
155334,155335,WN,1795,SNA,SJC,4,1275,75,1
305170,305171,MQ,2709,DFW,PIA,6,895,110,0
135686,135687,UA,329,DEN,PHX,3,1154,119,0
283857,283858,UA,321,DEN,JAC,5,695,100,0
483608,483609,XE,2062,IAH,LRD,2,1105,76,1
315128,315129,WN,3101,PHL,STL,7,560,160,1
96790,96791,FL,81,ATL,FLL,1,934,111,0
369804,369805,HA,15,SAN,HNL,3,550,365,0
33929,33930,MQ,2747,DFW,GSP,4,1185,130,0
171759,171760,WN,300,MSP,STL,5,1150,90,0
271391,271392,WN,359,TUS,LAS,4,1005,80,1
442944,442945,AA,1281,BOS,DFW,7,925,265,1
256869,256870,WN,589,SAN,LAS,3,1195,70,1
212087,212088,DL,1549,ATL,SFO,1,668,330,0
228175,228176,WN,2927,TPA,CMH,2,580,135,1
265350,265351,9E,4261,MSP,GFK,4,690,70,0
90260,90261,CO,542,IAH,SLC,1,595,196,0
256641,256642,XE,2802,CLE,RDU,3,1180,87,1
114901,114902,CO,1880,SEA,EWR,2,970,298,0
477906,477907,MQ,4387,DCA,RDU,2,810,65,1
350425,350426,UA,358,DEN,LGA,2,504,215,0
139937,139938,AA,334,DFW,BNA,4,440,100,0
427827,427828,9E,4220,FNT,DTW,6,985,48,0
436080,436081,OO,6290,MRY,LAX,7,555,68,0
244824,244825,AA,313,LGA,ORD,3,545,165,1
78480,78481,YV,2790,PHX,LGB,7,920,78,1
85838,85839,AA,700,DFW,LGA,1,370,190,0
226176,226177,WN,2,DAL,MAF,2,475,75,1
142047,142048,YV,2858,FLG,PHX,4,540,72,0
280873,280874,OH,6655,MEM,BNA,5,540,63,1
240779,240780,DL,2216,LAS,DTW,2,1420,229,0
319542,319543,WN,1594,RNO,DEN,7,795,130,1
290924,290925,FL,661,ATL,HPN,5,1061,138,1
82170,82171,XE,5894,ORD,TYS,7,1119,89,0
486212,486213,MQ,3229,DFW,LBB,2,1270,70,0
169292,169293,AA,1367,HSV,DFW,5,1025,130,0
515477,515478,UA,82,HNL,LAX,4,840,343,1
263403,263404,WN,1525,BNA,LAS,4,590,260,1
331587,331588,UA,865,BOS,ORD,1,475,167,0
511863,511864,FL,1743,MCO,PIT,4,655,139,1
257064,257065,XE,5943,ORD,PIA,3,1205,49,0
285788,285789,OO,6319,TUL,ORD,5,795,113,1
397428,397429,OO,6540,ORD,OMA,4,1024,91,1
409531,409532,WN,341,SEA,LAS,5,705,145,1
168216,168217,CO,1676,IAH,PHL,5,970,184,1
162829,162830,MQ,4180,ORD,CLT,5,685,115,0
67346,67347,AA,1638,DFW,BDL,6,1210,190,0
316491,316492,CO,1690,IAH,MIA,7,635,146,1
389957,389958,XE,5959,LIT,ORD,4,634,109,1
82367,82368,WN,1363,STL,LAS,7,1130,230,1
165171,165172,CO,37,EWR,MCO,5,809,171,1
344542,344543,WN,2397,SAN,TUS,1,1145,70,1
113330,113331,AS,583,SNA,PDX,2,885,148,0
319865,319866,DL,1172,ATL,PIT,7,815,100,0
430796,430797,OO,7812,SLC,RKS,6,1190,133,1
331351,331352,WN,24,RDU,MCO,1,460,105,1
295668,295669,OH,6761,BOS,JFK,6,360,85,0
464044,464045,XE,5945,GSP,ORD,1,1051,124,0
435858,435859,B6,77,JFK,PBI,7,542,181,1
23134,23135,OO,7048,DEN,ICT,4,616,80,0
57586,57587,AA,12,SFO,JFK,6,565,334,0
286842,286843,OO,3094,MKE,OMA,5,852,80,0
38976,38977,US,1415,ROC,CLT,5,505,129,0
313218,313219,OO,7759,SLC,EKO,7,457,71,1
418072,418073,DL,1933,LGA,CVG,6,375,135,0
74994,74995,EV,5377,MLI,ATL,7,735,116,0
184001,184002,WN,2274,TUS,LAX,6,925,90,0
363517,363518,WN,1172,SNA,OAK,2,1180,80,1
168856,168857,XE,2575,MSP,IAH,5,1000,177,0
38835,38836,B6,279,LAS,LGB,5,500,65,0
486577,486578,DL,1636,DTW,BWI,2,1310,97,1
361203,361204,WN,818,TPA,DEN,2,1055,250,1
372433,372434,FL,176,RSW,ATL,3,688,109,0
389862,389863,AS,510,SEA,SNA,4,630,165,0
537348,537349,YV,1029,KOA,HNL,5,1090,40,1
5104,5105,OO,4634,LGB,SLC,3,602,120,0
471051,471052,OO,4690,LAX,SLC,2,455,110,1
179174,179175,WN,2406,MDW,BNA,6,635,80,1
152959,152960,MQ,3730,EWR,ORD,4,1115,170,1
466152,466153,B6,562,FLL,SWF,1,1165,171,0
9962,9963,WN,219,MDW,LGA,3,865,130,1
199293,199294,AA,1275,SDF,DFW,7,950,145,0
330165,330166,DL,1588,SNA,ATL,1,405,264,0
281545,281546,9E,4205,RIC,DTW,5,580,115,0
170241,170242,US,755,PHL,MIA,5,1070,179,1
422204,422205,DL,2523,ATL,HNL,6,650,620,0
389324,389325,EV,5157,XNA,ATL,4,603,107,0
502715,502716,WN,657,DEN,DTW,3,1140,175,1
435887,435888,DL,2499,MSP,PHX,7,545,207,1
526978,526979,EV,7091,IAD,JFK,5,501,74,0
391084,391085,WN,2991,SEA,SMF,4,690,110,1
84981,84982,AS,52,FAI,ANC,7,1340,60,0
47007,47008,FL,1097,IND,MCO,5,920,137,0
272032,272033,9E,4245,DTW,IAD,4,1040,95,1
42131,42132,WN,3401,DEN,SAT,5,665,130,0
353194,353195,AA,1619,JAX,DFW,2,645,175,0
456142,456143,F9,178,TUS,DEN,1,641,107,0
505914,505915,FL,582,GRR,BWI,4,360,102,0
457451,457452,WN,836,MDW,ONT,1,705,270,1
483997,483998,HA,308,HNL,KOA,2,1132,43,0
497399,497400,WN,305,ISP,BWI,3,865,75,1
83438,83439,MQ,3659,MIA,GSO,7,1185,125,0
175335,175336,AS,307,PSP,SFO,6,420,89,0
244695,244696,AA,1494,AUS,DFW,3,540,65,1
234607,234608,OO,4613,MSP,FAR,2,930,62,1
436145,436146,OH,6383,CVG,CLE,7,560,69,0
317914,317915,OO,4814,SFO,SLC,7,709,110,1
83266,83267,OH,6601,MCO,RDU,7,1175,111,0
525883,525884,OO,6407,TUL,LAX,5,440,204,0
212005,212006,AA,1587,MEM,DFW,1,665,100,0
518749,518750,WN,24,MKE,BWI,4,1015,120,1
167782,167783,EV,5037,GPT,ATL,5,945,86,1
189569,189570,DL,2636,FSD,MSP,7,420,68,0
141620,141621,9E,3781,ATL,ICT,4,522,160,0
190565,190566,US,540,PHX,DFW,7,480,138,0
179171,179172,WN,1861,MCI,BNA,6,635,85,0
155170,155171,9E,4119,DCA,IND,4,1260,123,1
198506,198507,EV,5306,ATL,SBN,7,905,111,1
522139,522140,US,208,PHX,ABQ,4,1190,72,0
399671,399672,WN,2454,RDU,BWI,4,1140,60,1
177625,177626,MQ,2749,DFW,DAY,6,545,135,1
99390,99391,AA,480,SAN,DFW,1,1070,165,0
482172,482173,DL,1527,ATL,FLL,2,1035,114,1
522686,522687,OO,6600,MKG,ORD,4,1227,53,0
263216,263217,US,1472,PHL,PVD,4,580,69,0
485083,485084,WN,2038,STL,OKC,2,1185,95,1
113065,113066,FL,301,ATL,DEN,2,870,215,0
192804,192805,HA,25,PDX,HNL,7,605,365,0
54398,54399,9E,3692,FSD,DTW,6,375,130,1
465063,465064,MQ,3929,BDL,ORD,1,1105,170,1
282895,282896,FL,933,JAX,ATL,5,647,68,0
479710,479711,MQ,4303,OKC,ORD,2,905,130,0
207401,207402,FL,1244,FNT,MCO,1,428,174,0
53973,53974,AA,1225,COS,DFW,6,360,120,0
181234,181235,9E,4116,GSP,DTW,6,752,116,0
335647,335648,US,939,PHX,SAN,1,680,81,0
501702,501703,FL,695,SRQ,ATL,3,1085,98,0
30758,30759,AA,1353,JFK,DFW,4,1020,255,1
187602,187603,US,1007,CLT,PIT,6,1199,81,1
206960,206961,OO,6764,LNK,DEN,1,408,97,0
340391,340392,DL,2909,MSP,STL,1,930,94,1
131262,131263,OH,6604,CVG,BDL,3,915,119,0
111015,111016,DL,2431,LGA,DTW,2,755,118,0
250787,250788,EV,5151,TRI,ATL,3,870,76,0
199561,199562,AA,1657,JFK,MIA,7,965,210,0
256199,256200,XE,2917,MSP,IAH,3,1155,171,0
383115,383116,F9,589,DEN,SLC,3,1270,85,1
524509,524510,UA,221,ALB,ORD,5,360,149,0
233260,233261,AA,753,LGA,DFW,2,860,245,0
423283,423284,CO,1605,IAH,LAX,6,710,225,1
386946,386947,US,2118,LGA,BOS,4,480,64,1
27009,27010,DL,1584,SNA,JFK,4,820,315,0
421507,421508,WN,2003,RNO,SJC,6,605,60,0
408288,408289,F9,674,DEN,MCO,5,645,212,0
280938,280939,UA,881,BOS,ORD,5,542,173,0
57565,57566,DL,1493,EWR,DTW,6,562,121,0
50717,50718,FL,114,DFW,ATL,5,1113,117,0
168850,168851,WN,723,BWI,RDU,5,1000,65,1
205206,205207,9E,4084,DTW,ITH,7,1315,87,0
409718,409719,9E,4113,DTW,TVC,5,720,68,0
241459,241460,OO,4729,MFR,SLC,3,370,112,0
488332,488333,WN,331,PHL,PIT,3,395,75,1
518890,518891,WN,1215,DAL,OKC,4,1020,50,1
308640,308641,OO,6491,LAX,SMF,6,1100,81,0
329472,329473,UA,472,SMF,ORD,1,366,245,0
189747,189748,DL,1060,MCO,LAX,7,430,340,0
402818,402819,B6,68,FLL,JFK,5,360,160,0
68401,68402,UA,456,PDX,SFO,7,360,105,0
464218,464219,OO,4550,OMA,SLC,1,1060,145,0
464306,464307,US,35,ATL,PHX,1,1065,264,1
492549,492550,WN,845,SEA,LAS,3,610,145,1
401695,401696,US,627,PHX,OAK,4,1270,123,0
435845,435846,XE,2167,IAH,TUS,7,540,158,1
522594,522595,EV,5281,ATL,CAK,4,1220,101,0
120137,120138,UA,463,ORD,MSP,2,1315,93,0
491696,491697,B6,1147,BTV,MCO,3,566,196,0
465278,465279,AS,45,ANC,BET,1,1118,77,0
377552,377553,OO,6627,ORD,MEM,3,957,103,1
324315,324316,B6,1309,JFK,IAD,7,1050,82,0
109729,109730,WN,29,STL,DAL,2,685,105,0
301975,301976,OO,7029,DEN,DRO,6,708,64,1
230958,230959,OH,6662,DTW,FWA,2,730,54,1
212898,212899,FL,1438,MCO,MSP,1,706,209,0
471227,471228,US,1219,CLT,DFW,2,465,176,0
509616,509617,HA,303,HNL,LIH,4,535,37,0
351206,351207,CO,175,SNA,HNL,2,540,345,0
100023,100024,XE,2990,HSV,IAH,1,1102,117,0
314507,314508,US,990,IAH,CLT,7,525,144,0
217105,217106,MQ,2905,DFW,LIT,1,930,70,0
13249,13250,OO,4620,HLN,SLC,3,1040,77,1
203011,203012,OO,6659,PIT,DEN,7,1144,228,1
462131,462132,WN,560,PHL,BNA,1,955,145,0
256329,256330,DL,2277,MEM,DFW,3,1165,103,1
491651,491652,DL,1675,MEM,PHX,3,565,215,0
267007,267008,XE,2188,RIC,EWR,4,775,92,1
127688,127689,WN,767,LIT,DAL,3,720,65,0
24427,24428,EV,5013,STL,MEM,4,685,74,0
143728,143729,WN,1856,MCI,MCO,4,630,165,1
510608,510609,OO,4444,SLC,RAP,4,590,95,0
72195,72196,WN,580,SDF,STL,7,590,70,0
452701,452702,MQ,2765,DFW,DSM,1,465,110,0
216046,216047,US,975,CLT,RDU,1,875,50,1
301287,301288,DL,1582,MDW,ATL,6,674,116,1
14833,14834,WN,3311,BNA,MSY,3,1125,95,1
18592,18593,YV,2903,SBA,PHX,4,385,91,0
427457,427458,DL,670,SJU,MSP,6,960,360,1
500289,500290,OO,6654,SFO,MFR,3,1018,96,1
307136,307137,XE,2834,IAH,JAN,6,1011,70,1
275431,275432,WN,2461,TPA,ISP,4,1225,150,1
245,246,B6,162,RSW,JFK,3,360,156,0
14971,14972,EV,5090,ATL,MSN,3,1135,132,0
64630,64631,AS,51,ANC,FAI,6,990,56,0
232346,232347,AA,1538,BUR,DFW,2,810,180,1
166238,166239,FL,802,BOS,BWI,5,865,85,1
19837,19838,FL,178,RSW,ATL,4,450,108,0
398825,398826,DL,1632,MSY,SLC,4,1092,227,1
447896,447897,CO,796,LAS,IAH,7,1185,166,1
151587,151588,AA,2274,DFW,TUL,4,1045,60,1
96619,96620,CO,35,IAH,AUS,1,925,52,1
491454,491455,XE,2453,IAH,BRO,3,550,74,1
198772,198773,DL,1199,ATL,STL,7,920,105,1
180114,180115,AA,2344,DFW,ORD,6,690,135,1
242774,242775,B6,325,BDL,FLL,3,440,197,1
396102,396103,WN,3517,OAK,PDX,4,955,100,1
113052,113053,DL,1264,PHX,SLC,2,870,99,0
192195,192196,WN,2879,SFO,LAX,7,570,80,0
266878,266879,CO,326,IAH,BWI,4,770,174,1
85452,85453,B6,63,JFK,TPA,1,360,176,0
476740,476741,CO,93,SFO,IAH,2,747,228,1
180374,180375,DL,320,SMF,ATL,6,702,265,1
2692,2693,OO,6343,SFO,SNA,3,476,91,1
504325,504326,AS,69,KTN,JNU,3,1237,63,1
475360,475361,9E,4254,MSP,MOT,2,680,95,0
514084,514085,B6,991,JFK,PBI,4,770,173,0
453862,453863,9E,4154,MEM,ORD,1,525,113,0
161320,161321,OO,6246,FAT,LAX,5,607,70,1
121170,121171,WN,756,MDW,MCI,3,375,95,0
28476,28477,XE,2048,IAH,DFW,4,895,68,0
291406,291407,WN,2528,SFO,LAS,5,1085,90,1
497734,497735,AA,1634,SAT,ORD,3,885,160,1
514719,514720,WN,100,SJC,LAX,4,800,70,0
246312,246313,WN,2958,SAT,LAX,3,625,200,1
360275,360276,AA,696,DFW,MIA,2,1015,165,1
247523,247524,OO,4699,MSP,RAP,3,690,96,0
300908,300909,DL,1740,LAS,SLC,6,652,83,1
538984,538985,US,415,PHX,SFO,5,1270,129,1
138192,138193,DL,1181,RSW,ATL,4,360,110,0
176186,176187,WN,1527,SAN,LAS,6,465,70,0
58016,58017,EV,5014,ATL,HPN,6,590,149,1
252135,252136,OH,6546,DTW,MBS,3,940,59,0
47404,47405,WN,1761,STL,MCI,5,940,65,1
96153,96154,DL,1666,ATL,PNS,1,900,75,0
139015,139016,US,1293,BOS,PHL,4,390,93,1
17234,17235,MQ,3727,ORD,LIT,3,1305,110,1
230921,230922,YV,2942,CVG,CLT,2,729,86,0
367669,367670,AA,1038,DFW,MSP,3,445,140,0
517116,517117,DL,1885,LGA,MCO,4,929,184,0
158718,158719,OO,6390,BOI,SFO,5,477,112,1
527298,527299,OO,6601,MSN,DEN,5,517,168,1
53926,53927,CO,1585,MFE,IAH,6,350,62,0
371369,371370,WN,567,ABQ,ELP,3,630,55,1
205638,205639,US,1289,BOS,PHL,1,330,84,0
317745,317746,MQ,3262,LRD,DFW,7,700,80,0
488771,488772,F9,815,DEN,MCI,3,420,93,0
247157,247158,OH,6682,BWI,CVG,3,671,109,1
450037,450038,CO,1496,LAS,IAH,1,60,163,1
201073,201074,WN,170,PHX,BNA,7,1040,195,1
420352,420353,AA,1468,DFW,MEM,6,535,85,0
291964,291965,AA,597,ORD,SAT,5,1120,180,0
240425,240426,DL,1558,HNL,LAX,2,1300,322,1
448393,448394,AA,1832,ORD,RSW,7,1215,164,1
455504,455505,OH,6265,HSV,DTW,1,610,119,0
4836,4837,MQ,3338,DFW,AEX,3,590,65,0
216883,216884,CO,1138,DFW,EWR,1,919,190,0
229967,229968,OO,4580,LAX,SLC,2,678,107,0
348195,348196,MQ,3007,SBA,LAX,2,390,45,0
234287,234288,HA,374,LIH,HNL,2,913,32,1
433963,433964,DL,2748,ATL,BDL,7,445,142,0
4912,4913,DL,684,ATL,CVG,3,595,97,1
281911,281912,9E,3826,DTW,PWM,5,600,116,0
368599,368600,XE,2635,EWR,MHT,3,491,79,1
9954,9955,US,1511,CLT,PHX,3,865,278,1
217481,217482,FL,635,BWI,DAY,1,952,93,0
455503,455504,MQ,4656,BNA,LGA,1,610,120,0
148902,148903,WN,1162,JAX,PHL,4,900,135,1
138301,138302,MQ,4650,LGA,ATL,4,360,150,0
187716,187717,EV,5026,ATL,ABE,6,1215,112,0
36931,36932,UA,471,TUL,DEN,5,400,110,0
95434,95435,DL,1723,BOS,DTW,1,864,136,0
344628,344629,DL,2723,MSP,MCO,1,1150,192,1
196284,196285,DL,1274,GRB,MSP,7,786,70,0
493406,493407,WN,552,SNA,PHX,3,655,70,1
496581,496582,US,827,PHL,CLT,3,820,110,1
487008,487009,AS,195,ANC,FAI,2,1435,57,0
152186,152187,AA,541,DFW,ELP,4,1075,105,0
423916,423917,CO,224,CLE,EWR,6,745,91,0
389949,389950,OO,6360,SLC,ORD,4,633,188,1
476404,476405,B6,1242,CLT,BOS,2,730,121,1
428704,428705,EV,7067,IAD,BUF,6,1038,69,1
239349,239350,B6,1330,BWI,BOS,2,1195,78,1
61889,61890,AA,721,DFW,ELP,6,815,105,1
204271,204272,MQ,3277,DFW,ACT,7,1215,40,1
339204,339205,AA,2431,LAX,LAS,1,870,70,1
370646,370647,OO,6906,COS,DEN,3,597,49,1
291344,291345,DL,1977,ORD,ATL,5,1083,126,0
146324,146325,WN,1618,AUS,DAL,4,765,55,0
246717,246718,EV,7354,ATL,FAY,3,650,76,1
252985,252986,FL,102,ATL,DFW,3,986,147,1
26614,26615,DL,182,SEA,JFK,4,800,325,0
61151,61152,FL,1742,PIT,MCO,6,769,140,0
464552,464553,B6,1439,SFO,LGB,1,1079,80,1
444315,444316,UA,304,MCO,IAD,7,996,132,0
290020,290021,DL,1770,SLC,MSP,5,1020,157,1
224870,224871,WN,798,LAS,SMF,2,405,90,0
435848,435849,YV,1035,HNL,LIH,7,540,37,0
114829,114830,OO,6748,LAX,CLD,2,965,41,1
150660,150661,MQ,2835,DFW,JAN,4,995,75,1
57596,57597,AS,884,KOA,PDX,6,565,335,0
88318,88319,OH,6769,GSO,ATL,1,495,108,0
315939,315940,US,1179,FLL,CLT,7,605,119,0
535177,535178,UA,148,IAD,MCO,5,950,150,1
419489,419490,UA,164,ORD,MCO,6,480,166,0
102426,102427,WN,3249,LAS,ABQ,1,1260,80,1
153042,153043,OH,6317,RDU,DTW,4,1120,122,0
123194,123195,UA,236,LAS,IAD,3,481,269,0
339112,339113,CO,1720,MTJ,IAH,1,865,145,1
400852,400853,XE,3117,EWR,IND,4,1200,150,1
45378,45379,DL,1992,TPA,DTW,5,835,159,1
410187,410188,WN,3487,JAX,BHM,5,740,75,0
245264,245265,US,1817,BOS,PHL,3,570,95,0
117224,117225,9E,4370,SAV,ATL,2,1092,82,1
355340,355341,WN,1923,LAS,TUS,2,750,75,1
387213,387214,WN,1129,LBB,DAL,4,495,60,1
46118,46119,MQ,2851,DFW,CHS,5,875,140,0
28396,28397,YV,1027,OGG,HNL,4,890,32,0
159155,159156,AS,9,MCO,SEA,5,500,385,0
529320,529321,CO,1476,IAH,PHL,5,625,190,1
65752,65753,WN,2946,BNA,HOU,6,1065,130,1
31614,31615,AA,563,DFW,SAT,4,1060,65,0
523429,523430,OO,6233,PDX,EUG,4,1295,36,1
459503,459504,XE,3144,ATL,IAH,1,815,137,1
386546,386547,DL,1705,IAD,ATL,4,460,129,1
40828,40829,DL,1970,MSY,ATL,5,600,91,0
514415,514416,WN,3309,DEN,IND,4,785,145,1
418960,418961,DL,1099,BDL,MCO,6,445,183,1
209949,209950,WN,581,LAS,JAX,1,555,240,1
448097,448098,MQ,4059,ORD,BMI,7,1195,50,0
182452,182453,OH,6267,DTW,PIT,6,828,66,1
493434,493435,XE,2206,AMA,IAH,3,659,91,0
434715,434716,MQ,4206,CMI,ORD,7,485,65,1
275095,275096,DL,2847,LGA,ATL,4,1200,159,0
316929,316930,EV,5461,ATL,TUL,7,660,133,0
355532,355533,AA,1308,LAX,AUS,2,765,175,0
448957,448958,XE,2999,CLE,MKE,7,1255,80,0
420375,420376,FL,224,MKE,LAS,6,535,250,1
108319,108320,FL,135,ATL,TPA,2,610,90,0
516040,516041,XE,5937,ORD,IND,4,873,59,1
65176,65177,WN,1879,PVD,MCO,6,1025,185,1
277666,277667,AA,810,SFO,ORD,5,385,255,0
22802,22803,US,1433,CLT,LAX,4,600,331,1
35079,35080,OO,7054,DEN,SLC,4,1289,91,0
47078,47079,AA,539,MCO,DFW,5,925,180,1
178882,178883,9E,3887,MBS,DTW,6,620,54,0
68976,68977,MQ,3025,LAX,SAN,7,400,45,0
402326,402327,AA,1877,DFW,LAS,4,1360,190,1
248568,248569,WN,171,SEA,STL,3,745,225,1
293645,293646,WN,989,PHX,SNA,5,1205,70,1
445637,445638,UA,380,MSY,IAD,7,1061,148,0
408510,408511,9E,4102,ATL,GSP,5,660,64,0
225217,225218,XE,2102,LCH,IAH,2,420,44,0
380941,380942,DL,2313,PIT,ATL,3,1135,120,0
144460,144461,MQ,4310,CLT,ORD,4,670,125,0
476026,476027,WN,2706,SLC,OAK,2,710,125,1
170515,170516,DL,1977,ORD,ATL,5,1083,126,1
146475,146476,US,1735,PVD,CLT,4,775,140,1
106030,106031,UA,842,ORD,LAX,2,488,277,0
352668,352669,OO,4870,RNO,SLC,2,615,84,1
505054,505055,DL,2059,ATL,SAT,3,1308,166,0
483047,483048,OO,6885,ORD,MCI,2,1077,87,1
356054,356055,OO,4731,MFR,SLC,2,790,103,1
281214,281215,HA,21,SEA,HNL,5,560,375,1
313007,313008,WN,2015,SAN,MDW,7,445,240,0
109842,109843,US,29,ATL,PHX,2,690,261,1
349573,349574,OO,6688,COS,DEN,2,457,49,0
284430,284431,AA,1757,LGA,STL,5,725,170,0
239800,239801,AA,791,LGA,DFW,2,1229,245,0
309919,309920,DL,2031,ATL,TUS,6,1191,254,1
288317,288318,DL,105,DTW,ATL,5,930,132,1
194864,194865,WN,667,TPA,JAX,7,710,50,0
307792,307793,B6,1417,AUS,LGB,6,1050,195,1
437037,437038,OO,6263,SFO,FAT,7,609,57,1
276204,276205,OH,6442,DTW,RIC,4,1305,101,1
371121,371122,FL,562,ATL,BMI,3,620,109,0
204335,204336,FL,951,BWI,FLL,7,1220,155,0
76691,76692,EV,5442,MEM,MFE,7,826,131,0
3744,3745,OO,4817,SLC,ORD,3,526,189,1
17458,17459,UA,787,SFO,SAN,3,1348,91,0
146486,146487,WN,484,PHX,DEN,4,775,105,0
428487,428488,9E,4289,MSP,BNA,6,1025,135,0
261074,261075,UA,914,SFO,IAD,4,473,294,0
295488,295489,AA,1641,EWR,ORD,6,360,170,0
511613,511614,MQ,3323,DFW,GRK,4,640,50,1
180645,180646,DL,2339,DCA,ATL,6,720,120,0
312536,312537,DL,2381,MCI,ATL,7,420,130,0
311237,311238,CO,1570,OGG,SNA,7,49,326,0
513346,513347,XE,2650,MKE,CLE,4,725,70,0
109505,109506,DL,651,MDW,ATL,2,675,114,0
353827,353828,US,450,PIT,PHX,2,675,279,0
101472,101473,B6,491,BOS,DEN,1,1185,271,0
73324,73325,WN,2752,HOU,HRL,7,650,60,0
143982,143983,US,679,PHX,BOI,4,645,127,0
400626,400627,US,816,CLT,MDT,4,1190,87,0
244646,244647,MQ,4056,ORD,CVG,3,535,75,1
82015,82016,AS,471,LAX,SEA,7,1110,166,1
244773,244774,US,2164,DCA,LGA,3,540,83,0
429486,429487,WN,2341,TPA,BUF,6,1085,160,0
527817,527818,B6,77,JFK,PBI,5,542,181,1
158388,158389,9E,3741,ATL,HOU,5,460,141,0
398968,398969,UA,850,ORD,PIT,4,1100,89,0
143571,143572,9E,4011,LAN,DTW,4,625,49,0
155804,155805,OO,6811,LAX,RNO,4,1348,85,0
488454,488455,AS,322,SEA,SJC,3,405,127,0
164763,164764,US,714,DFW,PHL,5,785,189,0
459522,459523,FL,618,MKE,MSY,1,819,131,0
483682,483683,OO,6977,CEC,ACV,2,1110,29,0
298487,298488,YV,7243,CLT,ORD,6,515,129,0
331864,331865,AA,2258,DFW,PIT,1,490,150,1
151055,151056,DL,1180,SLC,MCO,4,1019,254,0
523567,523568,DL,1266,ATL,MEM,4,1310,95,0
76382,76383,OH,6354,CVG,EVV,7,810,59,1
102953,102954,B6,196,LAS,JFK,1,1337,281,0
288570,288571,XE,2480,CLE,BTV,5,940,82,1
324398,324399,UA,639,PVD,ORD,7,1051,165,0
132566,132567,DL,1523,BOS,DTW,3,988,140,1
440193,440194,XE,2894,CRP,IAH,7,776,59,0
296766,296767,OO,6432,LAX,SLC,6,422,110,1
215209,215210,AS,661,DFW,SEA,1,830,265,1
522148,522149,WN,1657,BNA,BDL,4,1190,135,1
460781,460782,US,407,PHX,SFO,1,885,125,0
458288,458289,OO,6745,SNA,SFO,1,750,85,0
481402,481403,MQ,3248,GRK,DFW,2,995,50,1
510984,510985,DL,1061,LAX,MCO,4,610,277,1
186757,186758,CO,1748,IAH,FLL,6,1125,145,1
236510,236511,DL,1465,JFK,SFO,2,1035,395,0
210544,210545,DL,150,ATL,IAD,1,590,118,1
160481,160482,EV,7371,MEM,SHV,5,565,74,0
299931,299932,US,567,PHX,MCO,6,599,246,1
312956,312957,XE,5900,TYS,ORD,7,444,115,0
324148,324149,OO,4730,SAN,LAX,7,1040,44,1
495618,495619,US,1266,ATL,PHL,3,770,126,1
459080,459081,9E,3911,MSP,GRB,1,795,72,0
223251,223252,DL,1599,ATL,PIT,1,1319,107,1
28340,28341,EV,5565,ATL,GPT,4,890,89,0
349959,349960,DL,2047,LGA,ATL,2,480,166,1
360952,360953,WN,186,JAN,MDW,2,1045,120,1
4576,4577,EV,7305,MEM,STL,3,575,71,0
227506,227507,WN,3596,MCO,MHT,2,540,170,0
65548,65549,WN,1887,BOI,OAK,6,1050,100,1
267201,267202,UA,654,DFW,ORD,4,785,140,0
369434,369435,WN,336,SMF,PHX,3,530,110,1
337427,337428,FL,572,PHX,MKE,1,775,195,0
52646,52647,DL,1441,ATL,LIT,5,1227,96,0
312677,312678,HA,332,HNL,ITO,7,425,50,1
214814,214815,DL,1998,ATL,MSP,1,810,162,1
352076,352077,XE,2301,EWR,ORD,2,585,169,1
47714,47715,UA,926,LAX,SFO,5,960,89,0
149428,149429,MQ,3278,DFW,BRO,4,930,95,0
464941,464942,OO,6339,SAN,LAX,1,1098,44,1
278347,278348,DL,1769,ATL,MCO,5,420,82,1
457166,457167,9E,4226,CVG,ORF,1,695,97,0
502191,502192,WN,621,MDW,LAS,3,1110,250,0
180103,180104,OO,6532,DEN,BUR,6,689,153,0
180337,180338,MQ,3920,FWA,ORD,6,700,60,0
199496,199497,US,2181,LGA,DCA,7,960,76,0
253340,253341,US,397,LAS,DFW,3,1005,157,0
154755,154756,AA,1665,DFW,SAN,4,1220,185,0
186632,186633,WN,1453,SAN,TUS,6,1110,70,1
390686,390687,DL,1582,MDW,ATL,4,674,116,1
62316,62317,CO,1493,MCO,EWR,6,840,160,1
379324,379325,WN,2987,BWI,BNA,3,1045,125,1
